id_movimiento,id_efectivo,id_unidad_destino,id_rango,id_tipo,fecha_movimiento,antiguedad_anios,salario_mensual,observaciones
1,549,3,1,1,2021/09/09,0 a.,2120,Ingreso voluntario al servicio
2,4,5,4,1,29-09-2024,0,2896,"Ingreso voluntario
servicio activo"
3,882,22,3,3,2025/08/16,doce años,"2,736.18","Ascenso post
curso especialización"
4,1103,27,3,4,2025/10/16,aprox. 12,3312,Cambio destino — solicitud personal
5,151,13,2,3,08-25-2024,15.5 años,"2,134.62 Bs",
6,478,35,1,6,06/06/2025,quince,2174,Retorno tras licencia por estudios
7,129,1,1,1,02-03-2025,cero años,2395.18,INCORPORACIÓN SERVICIO MILITAR OBLIGATORIO
8,686,11,5,4,21/07/2024,aprox. 14,BS 4221,Asignación temporal zona operaciones
9,300,35,6,3,13-09-2023,siete,4363,Ascenso aniversario patrio 6 agosto
10,924,34,1,6,25/05/2023,once años,2209.71,retorno tras licencia por estudios
11,499,33,2,4,09-10-2022,  3 años  ,2503,Traslado — orden de comando
12,1136,32,6,3,29-05-2025,  20 años  ,"3,605.56","Ascenso post
curso especialización"
13,13,38,2,4,07-16-2025,"4,0 años","2,395.48",Rotación periódica anual
14,546,2,7,1,02-02-2021,"0,0 años","Bs. 4,111.59",Alta por reclutamiento directo
15,395,27,1,6,26/05/2022,trece años,"Bs 2.417,38",Reincorporación — apto por sanidad militar
16,113,30,5,3,13/02/2024,quince,"4,035.23","Ascenso según
normativa vigente"
17,564,28,1,4,2023/12/06,veintidós,1957.05,Rotación periódica anual
18,1033,1,6,4,20250810,  11 años  ,"Bs. 3,856.75",Traslado por reorganización de unidades
19,338,48,1,4,20220117,diecisiete,"Bs. 2,069.82",Rotación semestral — destino UD-48
20,400,29,14,3,11-03-2025,3 a.,"14,020.62 Bs",Ref: Ascenso por méritos — evaluación superior
21,96,44,12,5,2025-07-26,4 a.,10086,Licencia por enfermedad — 7 días
22,151,21,2,2,01/12/2024,  18 años  ,"2,818.5",sin obs.
23,666,10,2,5,2022/07/24,quince,2291.54,Licencia sin goce de haberes
24,219,36,9,4,30/03/2022,20.5 años,"Bs.- 5,836.32",rotación semestral — destino ud-36
25,666,12,12,5,20211007,14.5,BS 8734,  Permiso por fallecimiento familiar  
26,882,8,1,4,02/08/2022,quince,"1,958.66","Cambio de destino
por requerimiento operacional"
27,293,26,2,5,10/08/2021,12,"Bs.- 2,735.99","Licencia médica
autorizada por sanidad"
28,1113,41,2,4,2023/11/18,5 a.,"Bs.2,782.61",TRASLADO POR NECESIDAD DEL SERVICIO
29,164,7,12,3,20/08/2024,VEINTE,9448,Ascenso por méritos — evaluación superior
30,1133,2,2,5,01/03/2025,25 años,"Bs. 2,594.04",Licencia anual ordinaria
31,740,27,1,1,12/12/2021,0 años,"1,931.23","Ingreso voluntario
servicio activo"
32,632,8,1,5,20241201,20 años,"Bs.- 2,376.45",Permiso por matrimonio
33,430,6,6,3,26-10-2022,cuatro,"Bs 4.100,84",Ascenso por antigüedad y méritos
34,110,39,2,4,29/08/2025,18,"Bs. 2,378.66","CAMBIO DE DESTINO
POR REQUERIMIENTO OPERACIONAL"
35,316,5,1,1,2022-06-18,cero,"Bs.2,166.32",N/A
36,443,45,11,1,2021/02/18,0 años,"Bs.6,445.28",Alta por convocatoria 2021
37,788,28,5,4,21/08/2023,VEINTIDÓS,"Bs.3,329.53",
38,581,43,4,2,18/11/2024,DIECIOCHO,"Bs.3,761.96","Ref: Baja por
inaptitud física"
39,97,1,7,6,14/09/2022,"5,0 años","Bs 4.426,19",Reincorporación post licencia médica
40,982,24,7,4,26-07-2021,"21,0 años","Bs.5,280.24",Rotación periódica anual
41,199,12,3,4,25/09/2024,cuatro,3106,Asignación temporal zona operaciones
42,475,41,11,6,2025/06/11,14 años,"Bs.8,395.65","Reincorporación
tras permiso especial"
43,1057,42,1,1,2022/02/02,0 años,"Bs. 1,980.38","Alta por
convocatoria anual"
44,1025,44,2,4,07-09-2021,  17 años  ,"2,293.60 Bs",Rotación periódica anual
45,680,8,6,3,30/11/2025,15 años,4741.60,Ascenso—antigüedad cumplida
46,181,46,1,5,2023-06-01,doce años,"Bs.2,383.69",Licencia — trámites personales
47,699,13,5,5,20220105,22 a.,"Bs.3,718.57",Licencia anual ordinaria
48,709,34,4,1,09-04-2022,cero,"Bs.2,900.25",Ref: Alta por convocatoria 2022
49,850,25,2,5,03/02/2024,4 años,2192,Permiso por fallecimiento familiar
50,895,20,1,4,14-08-2024,17 a.,2419,"Rotación por
necesidad institucional"
51,659,45,2,4,09-26-2021,diez años,"2,578.73","Rotación por
necesidad institucional"
52,975,11,10,2,03-10-2025,siete,"7,063.35",BAJA — SANCIÓN DISCIPLINARIA
53,955,37,12,3,20-10-2021,15 años,"Bs 7.821,40",Promoción por concurso de méritos
54,596,27,10,2,2022/11/08,24 a.,"Bs.6,662.32",Baja por motivos de salud
55,624,15,2,1,15/01/2024,0 años,2584.94,Sin observaciones
56,371,11,5,1,20/09/2022,0,"Bs. 3,601.40",ingreso voluntario al servicio
57,1074,27,5,4,07-08-2021,5,"Bs 3.579,82",Traslado por reorganización de unidades
58,328,44,2,4,2025/03/08,"15,0 años","Bs. 2,867.02",Traslado disciplinario
59,194,47,1,1,2023-04-23,cero,2375.66,Sin observaciones
60,160,10,2,5,2023/04/10,  20 años  ,"Bs 2.267,60","Licencia médica
autorizada por sanidad"
61,148,41,7,4,07-04-2024,1 año,"4,561.16 Bs",Traslado — orden de comando
62,764,37,10,3,08-12-2021,  12 años  ,"6,780.65 Bs",Ascenso aniversario patrio 6 agosto
63,424,24,9,3,2024-09-27,ocho,"Bs.6,384.48",S/N
64,471,46,3,2,2022/12/12,20 a.,3190,cumplimiento tiempo de servicio
65,374,11,5,2,25/03/2024,ocho,"3,427.31 Bs","Baja definitiva
por solicitud"
66,277,6,11,3,25-08-2021,siete años,"6,999.98 Bs",Ascenso por antigüedad y méritos
67,470,13,6,3,2021/08/02,cinco años,3661.23,Promoción regular — escalafonamiento
68,408,43,1,5,20250827,22 años,"1,998.01 Bs",Licencia anual ordinaria
69,313,24,2,2,21-12-2021,4,2765.76,Cumplimiento del servicio militar
70,695,20,8,6,2021/02/07,21 años,"Bs 5.110,78",Retorno al servicio — autorizado
71,752,9,1,4,2022/07/17,cinco,"2,358.65 Bs","Cambio de destino
por requerimiento operacional"
72,351,38,3,2,2025-02-08,17,3223,Ref: Cumplimiento del servicio militar
73,700,5,2,4,05-13-2023,"18,0 años","Bs. 2,611.41","Ref: Rotación por
necesidad institucional"
74,1196,41,7,4,06-08-2025,11,5495,  S/N  
75,272,13,2,1,05-29-2023,0,"2,688.70 Bs",Ingreso — proceso regular
76,1020,8,5,6,22-07-2024,  14 años  ,"Bs.3,302.46",Retorno al servicio activo
77,287,18,1,4,06/05/2022,aprox. 25,"Bs 1.932,68",Rotación periódica anual
78,130,42,5,1,01-22-2023,0 a.,"Bs 4.133,92",Ingreso — proceso regular
79,113,34,2,1,2021/01/16,aprox. 0,"Bs.- 2,754.30",S/N
80,1162,20,5,1,19/04/2022,"0,0 años","4,204.73 Bs",N/A
81,949,35,6,3,05-15-2023,VEINTE,"Bs.- 3,979.79",Ref: Promoción regular — escalafonamiento
82,932,16,9,5,01-16-2023,quince años,"Bs.- 6,146.89","Licencia médica
autorizada por sanidad"
83,1081,28,1,6,05-05-2021,5,"2,520.01","Reincorporación
tras permiso especial"
84,577,19,5,4,2023/03/30,3,"4,345.07 Bs",ROTACIÓN PERIÓDICA ANUAL
85,603,14,3,2,20240907,7 a.,"Bs 2.701,61",Baja — sanción disciplinaria
86,920,29,2,3,17-01-2022,8 años,BS 2359,Ascenso por méritos — evaluación superior
87,601,49,4,3,2022/09/14,10,"Bs. 2,912.57",PROMOCIÓN POR CONCURSO DE MÉRITOS
88,497,50,8,1,2024/12/22,0 años,"5,727.01 Bs",Ingreso — proceso regular
89,528,22,4,4,13/10/2022,24 años,"Bs. 2,909.32",Traslado a zona de frontera
90,1018,50,5,3,08-10-2025,5,"Bs. 3,767.84",S/N
91,837,39,6,5,25/10/2021,  25 años  ,4172,Licencia — trámites personales
92,91,50,5,2,27/07/2022,17 a.,"Bs.3,459.45",S/N
93,534,26,2,4,2024/08/01,14 a.,"Bs 2.791,39",Cambio destino — solicitud personal
94,371,14,1,6,22/11/2021,veinticuatro,"Bs. 2,432.25",Retorno al servicio activo
95,545,31,1,6,02-18-2025,DIECIOCHO,2059.62,Retorno tras licencia por estudios
96,1091,9,3,1,20250615,cero años,"Bs. 2,805.56",Ingreso voluntario al servicio
97,940,27,11,4,06/05/2024,aprox. 20,"Bs. 8,587.67",Traslado a zona de frontera
98,746,44,1,4,2025-12-02,21 años,"1,987.64 Bs",Rotación periódica anual
99,1150,32,2,6,03-30-2025,25 a.,"2,772.15 Bs",  Reincorporación post licencia médica  
100,29,3,5,1,11/11/2021,"0,0 años","4,225.74 Bs","Ingreso voluntario
servicio activo"
101,1011,32,5,3,2021/08/04,aprox. 7,"Bs. 4,033.08",Promoción — curso de comando aprobado
